id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,mineable,exchange,payments
7040,UpBots,UBXT,8,2020-09-18 0:00:00,-1.00E+05,425990335,499730119.5,1078,0.008561778,725808.0216,3.5122,0.64468495,1.26371959,-19.42784182,-32.50255493,-28.68432043,-38.67384687,3647234.78,0,4278578.46,No,No,No
11308,Fenerbahçe Token,FB,2,2021-08-19 0:00:00,190700000,2180000,28630000,1079,1.671838959,767494.4693,41.1177,-0.34469552,-5.89127311,-17.17124683,-41.49821077,-32.76765862,-29.76782281,3644608.93,0,318819689.4,No,No,No
5471,Ghost,GHOST,5,2020-05-26 0:00:00,-1.00E+05,18371121.24,17228397.07,1080,0.197520567,974.9536576,3.8242,-9.4767866,-11.74310051,-18.74584264,-24.94446169,-43.53659558,-42.55251171,3628674.279,0,3402962.75,No,No,No
12221,Rangers Protocol,RPG,19,2021-09-30 17:01:11,2.10E+07,972829.5075,2.10E+07,1081,3.729808372,8110142.205,-0.4965,-0.05095182,-0.853925,-37.44143485,-47.31059319,-46.84853177,-62.22523409,3628467.642,0,78325975.82,No,No,No
4647,PUBLISH,NEWS,2,2019-09-17 0:00:00,1.00E+10,199387431,1.00E+10,1082,0.018153153,148928.5403,574.7849,0.00717129,-1.63500081,-36.20801426,-19.4111651,-4.5352138,50.94287366,3619510.47,0,181531526.4,No,No,No
8705,Bifrost (BNC),BNC,6,2021-03-06 0:00:00,8.00E+07,10146000,8.00E+07,1083,0.35636387,402128.7954,33.7286,0.045039,4.73055857,-35.06775367,-55.03389726,-19.51109871,-47.51541491,3615667.827,0,28509109.62,No,No,No
9200,Revomon,REVO,11,2021-04-12 0:00:00,1.00E+08,24810137,1.00E+08,1084,0.145723978,139343.4707,-44.0433,-0.14171297,1.33363404,-24.85542364,-57.2025301,-49.77447111,-69.18228161,3615431.861,0,14572397.81,No,No,No
4287,Jobchain,JOB,5,2019-12-23 0:00:00,1.00E+11,9783348141,1.00E+11,1085,0.000368934,3796.420406,5.9064,0.43033288,1.27653651,-9.54943137,-16.0267479,-23.57172189,-42.68712083,3609412.915,0,36893432.22,No,No,No
13636,GMCoin,GMCOIN,3,2021-11-01 7:32:44,8.00E+07,41183481.15,8.00E+07,1086,0.086613704,97945.45131,-2.4949,-0.1581513,-4.39073244,-2.19811702,-22.21629732,-79.19894529,-83.75513593,3567053.84,0,6929096.31,No,No,No
2658,Smart MFG,MFG,10,2018-04-20 0:00:00,-1.00E+05,331228683.9,868459135.7,1087,0.010748435,56734.13849,74.1351,-0.88007726,3.66554675,-39.2164814,-59.14887199,-68.48534638,-88.40835662,3560189.847,3.00E-04,9334576.22,No,No,Yes
3241,FortKnoxster,FKX,5,2018-08-30 0:00:00,1.50E+08,149077342.8,1.50E+08,1088,0.023764103,262022.1869,-11.1836,0.95119419,10.54391343,-5.86762251,-49.95214128,-41.33575026,-63.89621665,3542689.259,0,3564615.38,No,No,No
1955,Neblio,NEBL,6,2017-09-12 0:00:00,-1.00E+05,19045112.61,19182149.89,1089,0.185324855,209684.008,167.9949,-1.16069089,-12.72290709,-41.55675237,-60.13579398,-52.17189217,-72.61787314,3529532.731,3.00E-04,3554929.15,No,No,No
2558,Insights Network,INSTAR,2,2018-03-02 0:00:00,3.00E+08,196753507.9,291233584,1090,0.017848244,1176.464027,100.57,-1.16064802,70.43718024,2.37580522,-6.69935928,-52.1157299,-51.35225923,3511704.614,3.00E-04,5354473.2,No,No,No
4841,suterusu,SUTER,14,2019-11-22 0:00:00,1.00E+10,3855040000,1.00E+10,1091,0.000907328,32380.04097,-41.2336,0.40062869,-2.70733361,-41.98822705,-60.22154165,-61.73510075,-72.08658565,3497785.574,3.00E-04,9073279.59,Yes,No,No
15463,SIDUS,SIDUS,12,2021-12-15 14:37:58,3.00E+10,944088426.5,29961879293,1092,0.00370126,373088.8514,7.9983,-0.99021915,-7.3480764,-44.84842512,-72.65793799,-83.7747289,-93.5398799,3494316.297,0,111037786.3,No,No,No
3883,QuickX Protocol,QCX,3,2019-04-25 0:00:00,-1.00E+05,499007299,5.00E+08,1093,0.00699351,3517.212195,667.2631,15.7107767,85.19503353,40.84238761,26.43323338,-5.07251358,0.49288119,3489812.31,3.00E-04,3496754.77,No,No,No
3475,BOX Token,BOX,5,2018-10-19 0:00:00,-1.00E+05,99776753.44,1.00E+08,1094,0.03494328,0,0,0,0,-9.87231725,-27.74788297,-25.33360215,-31.684659,3486527.043,3.00E-04,3494328.01,No,No,No
8132,BiFi,BIFI,11,2020-12-29 0:00:00,1.00E+09,244001934.7,1.00E+09,1095,0.014227611,88544.16992,218.1041,-0.05926758,-1.42107289,-20.77735304,-45.55787287,-34.64034678,-53.48793705,3471564.653,0,14227611.18,No,No,No
2230,MONK,MONK,2,2017-11-25 0:00:00,2.10E+07,12963755.07,12963755.07,1096,0.26772366,13825.28024,-16.5836,-1.16064802,0.86589108,13.35482612,8.5696225,37.21692978,79.60543488,3470703.952,3.00E-04,5622196.85,Yes,No,No
19590,Defigram,DFG,3,2022-04-18 6:23:42,1.00E+09,1.00E+07,1.00E+09,1097,0.343027625,1153916.322,-5.2721,-0.0461722,-2.9756295,-2.31237563,-3.62260242,-3.62260242,-3.62260242,3430276.254,0,343027625.4,No,No,No
6865,Crypton,CRP,5,2020-09-03 0:00:00,-1.00E+05,6370267,6370267,1098,0.537854888,152573.5929,-7.7132,1.39431714,0.11054368,-29.95189535,-45.4152479,-38.28984959,-32.85165819,3426279.242,0,3426279.24,Yes,Yes,No
2540,Litecoin Cash,LCC,9,2018-02-21 0:00:00,8.40E+08,757376418.7,757376418.7,1099,0.004519552,276.6943662,312.0915,-7.74788221,-5.75484636,-17.64073457,-41.37901562,-39.63726922,-56.51475239,3423001.768,3.00E-04,3796423.3,Yes,Yes,Yes
6882,ExNetwork Token,EXNT,2,2020-09-04 0:00:00,1.00E+08,63050105.09,1.00E+08,1100,0.054181471,0,-100,-1.34641753,-2.21703497,-16.30987908,-41.66968133,-37.69716076,-64.28502297,3416147.41,0,5418147.05,No,No,No
12929,OneArt,1ART,16,2021-10-20 10:21:33,1.00E+09,98858469.96,1.00E+09,1101,0.034479707,52912.13453,-53.8143,-0.78523837,-1.59406042,-30.66606845,-60.62639367,-63.34160057,-77.09313763,3408611.116,0,34479707.37,No,No,No
6597,Degenerator Meme,MEME,16,2020-08-16 0:00:00,28000,28000,28000,1102,121.374707,11539.33604,-57.5392,0.80380097,2.59344638,-26.14679417,-45.02418421,-55.10489344,-63.71007306,3398491.795,0,3398491.8,No,No,No
5224,Juventus Fan Token,JUV,16,2020-04-22 0:00:00,2.00E+07,1315932,2.00E+07,1103,2.574572463,3742408.537,17.7054,-1.98701959,-3.68317186,-36.32212722,-57.09411222,-59.84664725,-62.60583964,3387962.291,0,51491449.27,No,No,No
